Date,AMZN,DPZ,BTC,NFLX
2014-04-07,317.76001,69.896385,466.559998,48.285713
2014-04-08,327.070007,71.860092,457.339996,49.841427
2014-04-09,331.809998,72.675941,384.630005,50.432858
2014-04-10,317.109985,70.47506,435.140015,47.818573
2014-04-11,311.730011,68.976196,437.649994,46.672855
2014-04-14,315.910004,69.962784,526.429993,47.368572
2014-04-15,316.079987,70.361221,536.950012,46.610001
2014-04-16,323.679993,71.120155,502.0,47.344284
2014-04-17,324.910004,70.465569,485.519989,49.39143
2014-04-21,330.869995,70.541473,487.910004,49.784286
2014-04-22,329.320007,71.632423,487.299988,53.271427
2014-04-23,324.579987,71.395241,500.290009,50.5
2014-04-24,337.149994,71.233994,464.48999,49.152859
2014-04-25,303.829987,69.972275,457.869995,46.011429
2014-04-28,296.579987,68.957222,446.119995,44.887142
2014-04-29,300.380005,68.85289,445.630005,45.695713
2014-04-30,304.130005,70.560448,460.130005,46.005714
2014-05-01,307.890015,68.112938,453.670013,48.074287
2014-05-02,308.01001,69.241821,438.649994,48.664288
2014-05-05,310.049988,68.786476,432.190002,49.197144
2014-05-06,297.380005,68.539833,446.549988,46.598572
2014-05-07,292.709991,67.875771,441.109985,45.791428
2014-05-08,288.320007,67.477333,445.450012,45.951427
2014-05-09,292.23999,67.543747,451.899994,46.935715
2014-05-12,302.859985,68.729561,433.920013,49.349998
2014-05-13,304.640015,68.027534,442.630005,49.591427
2014-05-14,297.619995,67.591171,448.100006,50.26857
2014-05-15,295.190002,67.55323,453.630005,49.169998
2014-05-16,297.700012,67.856796,452.790009,49.982857
2014-05-19,296.76001,68.321632,484.570007,52.07143
2014-05-20,301.190002,67.581688,488.839996,53.095715
2014-05-21,305.01001,68.056023,515.359985,55.799999
2014-05-22,304.910004,69.403099,518.090027,55.971428
2014-05-23,312.23999,69.156433,520.460022,57.478573
2014-05-27,310.820007,69.573845,570.840027,56.972858
2014-05-28,310.160004,68.701088,564.419983,57.32
2014-05-29,313.779999,68.748528,612.349976,59.314285
2014-05-30,312.549988,68.729561,627.909973,59.689999
2014-06-02,308.839996,69.241821,669.429993,60.294285
2014-06-03,307.190002,68.938255,638.929993,59.652859
2014-06-04,306.779999,69.469513,660.179993,60.458572
2014-06-05,323.570007,69.545387,650.409973,61.192856
2014-06-06,329.670013,70.114594,651.669983,61.447144
2014-06-09,327.5,69.649742,655.619995,60.441429
2014-06-10,332.410004,69.30822,642.950012,61.184284
2014-06-11,335.200012,69.831772,597.130005,61.42857
2014-06-12,325.910004,68.879868,610.349976,60.349998
2014-06-13,326.269989,69.051216,583.419983,61.101429
2014-06-16,327.619995,68.708527,605.090027,61.465714
2014-06-17,325.619995,67.585274,606.210022,63.378571
